Continent,Country,Location Chinese,Location in English,Current Location,Latitude,Longitude,Business Name Chinese,Business Name English,Sector,Sub-Category
North America,Canada,英屬加拿大哥林比亞省 始緬尼市埠,"Chemainus, BC",,48.91633,-123.71937,添記雜貨,"Tim Kee & Co., Groceries..",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 始緬尼市埠,"Chemainus, BC",,48.91633,-123.71937,添記棧雜貨,"Tim Kee Jan & Co., Groceries..",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 始緬尼市埠,"Chemainus, BC",,48.91633,-123.71937,益記蘇杭,"Yic Kee & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 車釐役埠,"Chilliwack, BC",,49.16638,-121.95257,生和什貨,"Sing Wo & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 車釐役埠,"Chilliwack, BC",,49.16638,-121.95257,泰來雜貨,"Tai Loy & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 車釐役埠,"Chilliwack, BC",,49.16638,-121.95257,和生雜貨,"Wo Sang & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 企李島括埠,"Clayoquat, BC",,49.15794,-125.92875,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 企李島括埠,"Clayoquat, BC",,49.15794,-125.92875,成記雜貨,"Sing Kee & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 企冷頓埠,"Clinton, BC",,51.09204,-121.57578,志記雜貨,"Chee Kee & Co., Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 企冷頓埠,"Clinton, BC",,51.09204,-121.57578,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 企冷頓埠,"Clinton, BC",,51.09204,-121.57578,合記蘇杭,"Hop Kee & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 企冷頓埠,"Clinton, BC",,51.09204,-121.57578,永安隆雜貨,"Wing On Lung & Co., Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 柯格利埠,"Coal Creek, BC","Fernie, BC",49.49996,-115.06871,亞靈雜貨,"Ah Ling, Merchandise",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 加罧鼻埠,"Columbia, BC","Grand Forks, BC",49.03309,-118.4356,瑞和雜貨,"Chong Wo, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 加罧鼻埠,"Columbia, BC","Grand Forks, BC",49.03309,-118.4356,昌和雜貨,"Suey Wo, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 很卜碌埠,"Cranbrook, BC",,49.53793,-115.76867,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 很卜碌埠,"Cranbrook, BC",,49.53793,-115.76867,金利和什貨,"Cum See Wo, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 很卜碌埠,"Cranbrook, BC",,49.53793,-115.76867,賛元堂雜貨,"Dan Yuen Tong, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 很卜碌埠,"Cranbrook, BC",,49.53793,-115.76867,宏盛雜貨,"Fong Sing & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 很卜碌埠,"Cranbrook, BC",,49.53793,-115.76867,金利和雜貨,"Gum Lee Wo, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 很卜碌埠,"Cranbrook, BC",,49.53793,-115.76867,針萬和雜貨,"Jim Man Woh, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 很卜碌埠,"Cranbrook, BC",,49.53793,-115.76867,廣昌雜貨,"Kwong Chong, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 很卜碌埠,"Cranbrook, BC",,49.53793,-115.76867,劉品雜貨,"Low Bun, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 很卜碌埠,"Cranbrook, BC",,49.53793,-115.76867,馬利雜貨,"Mar Lee, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 很卜碌埠,"Cranbrook, BC",,49.53793,-115.76867,三利雜貨,"Sam Lee, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 很卜碌埠,"Cranbrook, BC",,49.53793,-115.76867,三益雜貨,"Sam Yick & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 很卜碌埠,"Cranbrook, BC",,49.53793,-115.76867,東成雜貨,"Tong Sing, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 很卜碌埠,"Cranbrook, BC",,49.53793,-115.76867,悅利雜貨,"Yat Lee, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,寶豐雜貨,"Bow Fung, Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,勝記雜貨,"Charlie Sing Kee, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,蚨源雜貨,"Foo Yuen, General Merchandise and Drugs.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,炎記酒樓,"Gum Kee, Restaurant.",Accommodation and Food Services,Foodservice
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,合記雜貨,"Hop Kee, Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,恒和雜貨,"Hung Wo & Co., Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,其豐襍貨,"Ka Fung & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,廣和雜貨,"Kwong Wah, Dry Goods.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,麗豐豬肉,"Lai Fong, Butcher.",Retail Trade,Food and Beverage Stores
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,麗源襍貨,"LAI YUEN & CO., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,長老會,Presbyterian Church.,Other Services (except Public Administration),Religious associations
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,均興雜貨,"Quan Hing, Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,廣興雜貨,"Quong Hing, Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,廣美隆油糖集貨,"QUONG MEE LUNG, Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,成利雜貨,"Sang Lee, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,勝記襍貨,"SING KEE, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,萃芳餐館,"Sueng Fong, Restaurant.",Accommodation and Food Services,Foodservice
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,泰利猪肉,"Tai Lee, Butcher.",Retail Trade,Food and Beverage Stores
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,泰安雜貨,"Tai On, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,華昌雜貨,"Wah Chong, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,和盛雜貨,"Wah Shing, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,榮昌雜貨,"Wing Chong & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,永和隆雜貨,"Wing Wo Lung, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,義源雜貨,"Yee Yuen Shong Kee, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 冚把倫埠,"Cumberland, BC",,49.61634,-125.03613,炎記雜貨,"Yim Kee & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 作古力埠,"Dog Creek, BC",,54.28316,-124.2699,周福雜貨,"Joe E. Fook & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 作古力埠,"Dog Creek, BC",,54.28316,-124.2699,勝利雜貨,"Sing Lee & Co., Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 黨近市姊臣埠,"Duncan Station, BC",,48.7778,-123.7067,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 黨近市姊臣埠,"Duncan Station, BC",,48.7778,-123.7067,趙弼洗衣,"Chew Ben & Co., Shoes.",Other Services (except Public Administration),Personal and Laundry Services
North America,Canada,英屬加拿大哥林比亞省 黨近市姊臣埠,"Duncan Station, BC",,48.7778,-123.7067,合昌蘇杭雜貨,"Hong Chong & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 黨近市姊臣埠,"Duncan Station, BC",,48.7778,-123.7067,怡泰蘇杭雜貨,"Yee Tai & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 典打備埠,"Enderby, BC",,50.5498,-119.15234,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 典打備埠,"Enderby, BC",,50.5498,-119.15234,合盛蘇杭雜貨,"Hop Sing & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 典打備埠,"Enderby, BC",,50.5498,-119.15234,寶源雜貨,"Poo Yuen & Co., Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 典打備埠,"Enderby, BC",,50.5498,-119.15234,榮利蘇杭什貨,"Wing Lee & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 的市賛臣埠,"Extension, BC",,49.09964,-123.95271,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 的市賛臣埠,"Extension, BC",,49.09964,-123.95271,合益雜貨,"Hop Yick & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 的市賛臣埠,"Extension, BC",,49.09964,-123.95271,廣利雜貨,"Quong Lee & Co., Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 的市賛臣埠,"Extension, BC",,49.09964,-123.95271,永吉雜貨,"Wing Gut & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 的市賛臣埠,"Extension, BC",,49.09964,-123.95271,永和昌雜貨,"Wing Wah Chong, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 寬尼埠,"Fornie, BC",,49.49996,-115.06871,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 寬尼埠,"Fornie, BC",,49.49996,-115.06871,金德榮什貨,"Kim Tuck & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 寬尼埠,"Fornie, BC",,49.49996,-115.06871,廣昌隆雜貨,"Quong Chong Lung & Co., General Mdse.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 寬尼埠,"Fornie, BC",,49.49996,-115.06871,泰祥蘇杭雜貨,"Tai Chong & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 闊市姊路埠,"Fort Steele, BC",,49.61664,-115.63538,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 闊市姊路埠,"Fort Steele, BC",,49.61664,-115.63538,李穩洗衣,"Lee One, Laundry.",Other Services (except Public Administration),Personal and Laundry Services
North America,Canada,英屬加拿大哥林比亞省 闊市姊路埠,"Fort Steele, BC",,49.61664,-115.63538,三利雜貨,"Sam Lee & Co., Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 俄而剪埠,"Golden, BC",,51.29995,-116.9689,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 俄而剪埠,"Golden, BC",,51.29995,-116.9689,合利餐館,"Hop Lee, Restaurant.",Accommodation and Food Services,Foodservice
North America,Canada,英屬加拿大哥林比亞省 俄而剪埠,"Golden, BC",,51.29995,-116.9689,三利洗衣,"Sam Lee, Laundry.",Other Services (except Public Administration),Personal and Laundry Services
North America,Canada,英屬加拿大哥林比亞省 俄而剪埠,"Golden, BC",,51.29995,-116.9689,黃業蘭生菓,"Wong Tsue, Fruit Store.",Retail Trade,Food and Beverage Stores
North America,Canada,英屬加拿大哥林比亞省 俄而剪埠,"Golden, BC",,51.29995,-116.9689,怡利餐館,"Yee Lee, Restaurant.",Accommodation and Food Services,Foodservice
North America,Canada,英屬加拿大哥林比亞省 加蘭福埠,"Grand Forks, BC",,49.03309,-118.4356,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 加蘭福埠,"Grand Forks, BC",,49.03309,-118.4356,福利源雜貨,"Hong Wo, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 加蘭福埠,"Grand Forks, BC",,49.03309,-118.4356,同利雜貨,"HONG LEE & CO., Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 加蘭福埠,"Grand Forks, BC",,49.03309,-118.4356,同和雜貨,"Hong Wa & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 加蘭福埠,"Grand Forks, BC",,49.03309,-118.4356,瑞和雜貨,"Suey Wo & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 企連埠,"Greenwood, BC",,49.09414,-118.67846,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 企連埠,"Greenwood, BC",,49.09414,-118.67846,福利襍貨,"FOOK LEE & CO., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 企連埠,"Greenwood, BC",,49.09414,-118.67846,合昌襍貨,"Hop Chong & Co., Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 企連埠,"Greenwood, BC",,49.09414,-118.67846,均隆襍貨,"Quan Lung & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 企連埠,"Greenwood, BC",,49.09414,-118.67846,三利衣館,"Sam Lee, Laundry.",Other Services (except Public Administration),Personal and Laundry Services
North America,Canada,英屬加拿大哥林比亞省 企連埠,"Greenwood, BC",,49.09414,-118.67846,勝記襍貨,"Sing Kee & Co., Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 體利罷埠,"High River, BC","HIGH RIVER, AB",50.58341,-113.86867,同勝蘇杭,"HONG SING, Dry Goods.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 體利罷埠,"High River, BC","HIGH RIVER, AB",50.58341,-113.86867,合盛什貨,"Hop Sing, Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 體利罷埠,"High River, BC","HIGH RIVER, AB",50.58341,-113.86867,廣瑞和襍貨,"Quong Soy Wo, Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 體利罷埠,"High River, BC","HIGH RIVER, AB",50.58341,-113.86867,勝隆襍貨,"Sing Lung, Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 卡市碌埠,"Kaslo, BC",,49.91658,-116.91887,聯記襍貨,"Lun Kee & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 卡市碌埠,"Kaslo, BC",,49.91658,-116.91887,廣泰襍貨,"Quong Tai & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 卡市碌埠,"Kaslo, BC",,49.91658,-116.91887,廣泰和襍貨,"Quong Tai Wo, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 卡市碌埠,"Kaslo, BC",,49.91658,-116.91887,三盛衣服,"Sam Sing & Co., Laundry.",Other Services (except Public Administration),Personal and Laundry Services
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,國民黨會所,Chung Hwa National Association.,Other Services (except Public Administration),Political organizations
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,廣發隆襍貨,"Kwong Fat Lung, General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,利昌蘇杭雜貨,"Lee Chong & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,利安蘇杭雜貨,"Lee On & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,南榮蘇杭雜貨,"Nam Wing & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,美興隆雜貨,"Mee Hing Lung & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,安利雜貨,"On Lee & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,愛蓮公所公所,"Oy Lin Society., society",Other Services (except Public Administration),Overseas Chinese Associations
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,廣利雜貨,"Quong Lee & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,廣聯泰雜貨,"Quong Lan Tai & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,廣榮昌雜貨,"Quong Wing Chong & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,瑞記雜賃,"Shuy Kee & Co., Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,信記雜貨,"Sin Kee & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,業南雜貨,"Yep Num, Groceries.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,源錦新衣,"Yuen Kim & Co., Clothing.",Retail Trade,Clothing and Clothing Accessories Stores
North America,Canada,英屬加拿大哥林比亞省 錦碌埠,"Kamloops, BC",,50.66648,-120.3192,源利雜貨,"Yuen Lee & Co., General Merchandise.",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 企老那埠,"Kelowna, BC",,49.88307,-119.48568,昌記雜貨,"Chung Kee & Co., Groceries",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 企老那埠,"Kelowna, BC",,49.88307,-119.48568,福生和雜貨,"Fook Sang Wo & Co., Groceries",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 企老那埠,"Kelowna, BC",,49.88307,-119.48568,廣利源雜貨,"Kwong Lee Yuen, General Merchandise",Retail Trade,General Merchandise
North America,Canada,英屬加拿大哥林比亞省 企老那埠,"Kelowna, BC",,49.88307,-119.48568,三利洗衣,"Sam Lee, Laundry",Other Services (except Public Administration),Personal and Laundry Services
North America,Canada,英屬加拿大哥林比亞省 卡罅猫市埠,"Keremeos, BC",,49.19975,-119.8357,三記洗衣,"Sam Kee, Laundry",Other Services (except Public Administration),Personal and Laundry Services
North America,Canada,英屬加拿大哥林比亞省 卡罅猫市埠,"Keremeos, BC",,49.19975,-119.8357,勝利洗衣,"Sing Lee, Laundry",Other Services (except Public Administration),Personal and Laundry Services
North America,Canada,英屬加拿大哥林比亞省 卡罅猫市埠,"Keremeos, BC",,49.19975,-119.8357,和隆洗衣,"WO LUNG HONG LEE, Laundry",Other Services (except Public Administration),Personal and Laundry Services
North America,Canada,英屬加拿大哥林比亞省 列伍尼埠,"Ladner, BC",,49.08938,-123.08241,致公堂會所,Chee Kong Tong,Other Services (except Public Administration),Political organizations
